Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20220783,Carlos Verona,Movistar Team,Unclassed,6,3.1%,282,200,20,0,0,0,12,40,10,282
riderprofile.php?rider=20220785,Kasper Asgreen,Quick-Step Alpha Vinyl Team,Unclassed,6,14.1%,41,0,0,0,0,1,0,20,20,41
riderprofile.php?rider=20220788,Mattia Cattaneo,Quick-Step Alpha Vinyl Team,All Rounder,6,3.5%,208,99,37,0,0,12,0,40,20,208
riderprofile.php?rider=20220795,Mikkel Frølich Honoré,Quick-Step Alpha Vinyl Team,Unclassed,6,0.5%,159,50,0,0,0,29,0,60,20,159
riderprofile.php?rider=20220799,Yves Lampaert,Quick-Step Alpha Vinyl Team,Unclassed,6,0.9%,408,261,124,14,0,1,0,0,8,408
riderprofile.php?rider=20220801,Michael Mørkøv,Quick-Step Alpha Vinyl Team,Unclassed,6,1.7%,59,20,0,0,0,19,0,0,20,59
riderprofile.php?rider=20220803,Florian Sénéchal,Quick-Step Alpha Vinyl Team,Unclassed,6,1.2%,335,315,0,0,0,0,0,0,20,335
riderprofile.php?rider=20220898,Amaury Capiot,Team Arkéa Samsic,Sprinter,6,0.1%,155,143,0,0,0,8,0,0,4,155
riderprofile.php?rider=20220908,Hugo Hofstetter,Team Arkéa Samsic,Sprinter,6,0.7%,423,399,0,0,0,0,0,20,4,423
riderprofile.php?rider=20220910,Matis Louvel,Team Arkéa Samsic,Unclassed,6,0.1%,18,0,0,0,0,12,2,0,4,18
riderprofile.php?rider=20220921,Connor Swift,Team Arkéa Samsic,Unclassed,6,0.9%,54,30,0,0,0,0,0,20,4,54
riderprofile.php?rider=20220929,Luke Durbridge,Team BikeExchange - Jayco,Unclassed,6,0.9%,42,0,0,0,0,6,0,20,16,42
riderprofile.php?rider=20220938,Christopher Juul-Jensen,Team BikeExchange - Jayco,Unclassed,6,0.2%,42,0,0,0,0,10,0,0,32,42
riderprofile.php?rider=20220944,Luka Mezgec,Team BikeExchange - Jayco,Unclassed,6,0.4%,102,70,0,0,0,0,0,0,32,102
riderprofile.php?rider=20220947,Nick Schultz,Team BikeExchange - Jayco,Unclassed,6,0.3%,369,250,40,0,0,11,0,40,28,369
riderprofile.php?rider=20220960,John Degenkolb,Team DSM,Unclassed,6,2.1%,8,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20220963,Nils Eekhoff,Team DSM,Unclassed,6,0.3%,48,0,0,0,0,20,0,20,8,48
riderprofile.php?rider=20220964,Chris Hamilton,Team DSM,Unclassed,6,0.8%,12,0,0,0,0,4,0,0,8,12
riderprofile.php?rider=20220977,Martijn Tusveld,Team DSM,Unclassed,6,0.0%,8,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20221010,Edvald Boasson Hagen,TotalEnergies,Sprinter,6,0.7%,288,207,26,0,0,15,0,40,0,288
riderprofile.php?rider=20221013,Mathieu Burgaudeau,TotalEnergies,Unclassed,6,0.9%,106,70,0,0,0,12,0,20,4,106
riderprofile.php?rider=20221022,Pierre Latour,TotalEnergies,Climber,6,2.7%,194,85,0,0,26,2,37,40,4,194
riderprofile.php?rider=20221033,Anthony Turgis,TotalEnergies,Sprinter,6,0.4%,4,0,0,0,0,0,0,0,4,4
